old,new,kind,status,note
/2012/03/job-or-joy/feed/,/2012/03/job-or-joy/,feed,REDIRECT,301 · 1 hop
/2012/03/one-word-storytelling/,/2012/03/one-word-storytelling/,artikel,EXACT,
/2012/03/one-word-storytelling/comment-page-1/,/2012/03/one-word-storytelling/,reactiepagina,REDIRECT,301 · 1 hop
/2012/03/one-word-storytelling/feed/,/2012/03/one-word-storytelling/,feed,REDIRECT,301 · 1 hop
/2012/03/ouija-board-estimation/,/2012/03/ouija-board-estimation/,artikel,EXACT,
/2012/03/ouija-board-estimation/comment-page-1/,/2012/03/ouija-board-estimation/,reactiepagina,REDIRECT,301 · 1 hop
/2012/03/ouija-board-estimation/feed/,/2012/03/ouija-board-estimation/,feed,REDIRECT,301 · 1 hop
/2012/04/scrum-simulation-with-lego-bricks/,/2012/04/scrum-simulation-with-lego-bricks/,artikel,EXACT,
/2012/04/scrum-simulation-with-lego-bricks/feed/,/2012/04/scrum-simulation-with-lego-bricks/,feed,REDIRECT,301 · 1 hop
/2012/04/tasty-estimation/,/2012/04/tasty-estimation/,artikel,EXACT,
/2012/04/tasty-estimation/feed/,/2012/04/tasty-estimation/,feed,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/,/2012/05/lean-startup-snowflakes/,artikel,EXACT,
/2012/05/lean-startup-snowflakes/comment-page-1/,/2012/05/lean-startup-snowflakes/,reactiepagina,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/feed/,/2012/05/lean-startup-snowflakes/,feed,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/money/,/2012/05/lean-startup-snowflakes/,attachment,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/money/feed/,/2012/05/lean-startup-snowflakes/,feed,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/photo-20/,/2012/05/lean-startup-snowflakes/,attachment,REDIRECT,301 · 1 hop
/2012/05/lean-startup-snowflakes/photo-20/feed/,/2012/05/lean-startup-snowflakes/,feed,REDIRECT,301 · 1 hop
/2012/06/2-brains-tell-it-sell-it/,/2012/06/2-brains-tell-it-sell-it/,artikel,EXACT,
/2012/07/challenger-selling-model/,/2012/07/challenger-selling-model/,artikel,EXACT,
/2012/07/gone-fishing-game/,/2012/07/gone-fishing-game/,artikel,EXACT,
/2012/07/gone-fishing-game/feed/,/2012/07/gone-fishing-game/,feed,REDIRECT,301 · 1 hop
/2012/07/innovation-ambition-matrix/,/2012/07/innovation-ambition-matrix/,artikel,EXACT,
/2012/08/customer-centric/,/2012/08/customer-centric/,artikel,EXACT,
/2012/08/customer-centric/feed/,/2012/08/customer-centric/,feed,REDIRECT,301 · 1 hop
/2012/08/die-card-die-the-interruption-game/,/2012/08/die-card-die-the-interruption-game/,artikel,EXACT,
/2012/08/die-card-die-the-interruption-game/comment-page-1/,/2012/08/die-card-die-the-interruption-game/,reactiepagina,REDIRECT,301 · 1 hop
/2012/08/die-card-die-the-interruption-game/die_card_die-2/,/2012/08/die-card-die-the-interruption-game/,attachment,REDIRECT,301 · 1 hop
/2012/08/die-card-die-the-interruption-game/die_card_die-2/feed/,/2012/08/die-card-die-the-interruption-game/,feed,REDIRECT,301 · 1 hop
/2012/08/die-card-die-the-interruption-game/feed/,/2012/08/die-card-die-the-interruption-game/,feed,REDIRECT,301 · 1 hop
/2012/08/innovation-generator/,/2012/08/innovation-generator/,artikel,EXACT,
/2012/08/kanban-tetris/,/2012/08/kanban-tetris/,artikel,EXACT,
/2012/08/kanban-tetris/feed/,/2012/08/kanban-tetris/,feed,REDIRECT,301 · 1 hop
/2012/08/safe-bold-framework/,/2012/08/safe-bold-framework/,artikel,EXACT,
/2012/08/wellbeing-north-star/,/2012/08/wellbeing-north-star/,artikel,EXACT,
/2012/08/wellbeing-north-star/feed/,/2012/08/wellbeing-north-star/,feed,REDIRECT,301 · 1 hop
/2012/09/the-domino-effect/,/2012/09/the-domino-effect/,artikel,EXACT,
/2012/09/the-domino-effect/feed/,/2012/09/the-domino-effect/,feed,REDIRECT,301 · 1 hop
