from,to,status,reason
/2013/09/mind-reading/mind-reader-game-elinor-slomba-with-independent-software-team/feed/,/2013/09/mind-reading/,301,attachmentpagina
/2013/10/a-day-in-the-perfect-company-movie/feed/,/2013/10/a-day-in-the-perfect-company-movie/,301,attachmentpagina
/2013/11/three-projects-three-experiments/comment-page-1/,/2013/11/three-projects-three-experiments/,301,legacy URL
/2013/11/three-projects-three-experiments/feed/,/2013/11/three-projects-three-experiments/,301,attachmentpagina
/2013/12/2014-san-jose-budget-games/feed/,/2013/12/2014-san-jose-budget-games/,301,attachmentpagina
/2014/01/christmas-lucky-dip-game-with-a-twist-energise-your-christmas-party/comment-page-1/,/2014/01/christmas-lucky-dip-game-with-a-twist-energise-your-christmas-party/,301,legacy URL
/2014/01/christmas-lucky-dip-game-with-a-twist-energise-your-christmas-party/feed/,/2014/01/christmas-lucky-dip-game-with-a-twist-energise-your-christmas-party/,301,attachmentpagina
/2014/01/scrum-roles-and-responsibilities-game/comment-page-1/,/2014/01/scrum-roles-and-responsibilities-game/,301,legacy URL
/2014/01/scrum-roles-and-responsibilities-game/feed/,/2014/01/scrum-roles-and-responsibilities-game/,301,attachmentpagina
/2014/01/scrum-roles-and-responsibilities-game/scrumresponsibilitiesgame/,/2014/01/scrum-roles-and-responsibilities-game/,301,attachmentpagina
/2014/01/scrum-roles-and-responsibilities-game/scrumresponsibilitiesgame/feed/,/2014/01/scrum-roles-and-responsibilities-game/,301,attachmentpagina
/2014/02/matching-values/feed/,/2014/02/matching-values/,301,attachmentpagina
/2014/02/means-first-then-states/feed/,/2014/02/means-first-then-states/,301,attachmentpagina
/2014/05/lego-flow-game/comment-page-1/,/2014/05/lego-flow-game/,301,legacy URL
/2014/05/lego-flow-game/feed/,/2014/05/lego-flow-game/,301,attachmentpagina
/2014/06/defining-done/comment-page-1/,/2014/06/defining-done/,301,legacy URL
/2014/06/defining-done/feed/,/2014/06/defining-done/,301,attachmentpagina
/2014/06/epic-bedtime-story/comment-page-1/,/2014/06/epic-bedtime-story/,301,legacy URL
/2014/06/epic-bedtime-story/feed/,/2014/06/epic-bedtime-story/,301,attachmentpagina
/2014/06/epic-bedtime-story/picture1/,/2014/06/epic-bedtime-story/,301,attachmentpagina
/2014/06/epic-bedtime-story/picture1/feed/,/2014/06/epic-bedtime-story/,301,attachmentpagina
/2014/06/the-rocket-retrospective/comment-page-1/,/2014/06/the-rocket-retrospective/,301,legacy URL
/2014/06/the-rocket-retrospective/feed/,/2014/06/the-rocket-retrospective/,301,attachmentpagina
/2014/07/scrumheads-the-daily-scrum-game/feed/,/2014/07/scrumheads-the-daily-scrum-game/,301,attachmentpagina
/2014/07/the-cultural-radars/comment-page-1/,/2014/07/the-cultural-radars/,301,legacy URL
/2014/07/the-cultural-radars/feed/,/2014/07/the-cultural-radars/,301,attachmentpagina
/2014/08/cynefin-with-the-team-drawer/comment-page-1/,/2014/08/cynefin-with-the-team-drawer/,301,legacy URL
/2014/08/cynefin-with-the-team-drawer/feed/,/2014/08/cynefin-with-the-team-drawer/,301,attachmentpagina
/2014/08/the-newlywed-game/comment-page-1/,/2014/08/the-newlywed-game/,301,legacy URL
/2014/08/the-newlywed-game/feed/,/2014/08/the-newlywed-game/,301,attachmentpagina
/2014/08/the-newlywed-game/the-newlywed-game-results/,/2014/08/the-newlywed-game/,301,attachmentpagina
/2014/08/the-newlywed-game/the-newlywed-game-results/feed/,/2014/08/the-newlywed-game/,301,attachmentpagina
/2014/09/new-kanban-simulation-game-featureban/feed/,/2014/09/new-kanban-simulation-game-featureban/,301,attachmentpagina
